"X5uM_10h" "X5uM_10h.1" "X5uM_10h.2" "X5uM_10h.3" "X5uM_10h.4" "X5uM_10h.5" "X10uM_10h" "X10uM_10h.1" "X10uM_10h.2" "X10uM_10h.3" "X10uM_10h.4" "X10uM_10h.5" "Veh_24h" "Veh_24h.1" "Veh_24h.2" "Veh_24h.3" "Veh_24h.4" "Veh_24h.5" "X5uM_24h" "X5uM_24h.1" "X5uM_24h.2" "X5uM_24h.3" "X5uM_24h.4" "X5uM_24h.5" "X10uM_24h" "X10uM_24h.1" "X10uM_24h.2" "X10uM_24h.3" "X10uM_24h.4" "X10uM_24h.5" "UT_48h" "UT_48h.1" "UT_48h.2" "UT_48h.3" "UT_48h.4" "UT_48h.5" "Veh_48h" "Veh_48h.1" "Veh_48h.2" "Veh_48h.3" "Veh_48h.4" "Veh_48h.5" "X5uM_48h" "X5uM_48h.1" "X5uM_48h.2" "X5uM_48h.3" "X5uM_48h.4" "X5uM_48h.5" "Veh_72h" "Veh_72h.1" "Veh_72h.2" "Veh_72h.3" "Veh_72h.4" "Veh_72h.5"
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4)" 5.98589464888686 5.854382568072 5.74764016032437 5.86323480244948 5.75848268216734 5.70057998615279 5.76863218237277 5.76249925835673 5.80929434361312 5.85352664982138 5.83894978502982 5.74660228723873 5.72430209036285 5.7723341778381 5.85555246847172 5.78176614215077 5.87423473881818 5.8611883906511 5.86668599792571 5.84942862786779 5.71584128815432 5.74051742868499 5.77631828415414 5.80916227121199 5.72539212754705 5.75954244765928 5.67227338831295 5.81497303397042 5.7986485740835 5.78586845320413 5.89994355332868 5.80141057085545 5.70200465016544 5.86527398572068 5.83505610172012 5.75016576105975 5.81483003884505 5.84430441768999 5.77305981991305 5.92597540535286 5.82139232826799 5.67528788013194 5.79972572877688 5.87853443351653 5.87263810138887 5.81720628370146 5.98014250543204 5.8099709213401 5.78798584422919 5.8558570107188 5.67677040438528 5.80770276052061 5.81467368797302 5.80054250079626
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)" 5.85417421493883 5.89099913421972 5.53731149223819 5.66859555762502 5.58479580660043 5.62540814986447 5.62635474094982 5.59055986408618 5.69684807768502 5.73782056334909 5.64000912101098 5.75302968953718 5.72566502670388 5.71161491628945 5.75874919064686 5.70836565368291 5.74579515390488 5.82540339623644 5.78725071560575 5.61708530346914 5.68577845060468 5.58928481201463 5.63513476361604 5.58976646684469 5.60731988835379 5.67875230697472 5.55486332790973 5.75581542183467 5.75831375832499 5.72710674525454 5.8668553909457 5.64160893900108 5.74374487859246 5.72710674525454 5.74337255617118 5.49417408115414 5.73128408818331 5.76805470437953 5.70425693169811 5.76715883560695 5.7488242674646 5.58233840476529 5.73561406780675 5.78201443837415 5.76483417652685 5.71012583080868 6.17794290169704 5.71107632497991 5.70063969292069 5.69931556522862 5.5760036903735 5.72269889733993 5.61111763438438 5.86562801117176
"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)" 6.85466578015458 6.72569214383928 6.67509254977031 6.71680721324889 6.69767666236937 6.63702777083345 6.77150722819199 6.75560375608075 6.73915295687162 6.79999005760072 6.71369067564921 6.7341848236571 6.76474497698185 6.74381139271489 6.76606184891344 6.71261216214846 6.79673504792897 6.78313652967649 6.79903760958949 6.78332525414335 6.70759861719742 6.65286513231569 6.71824277883831 6.73658404511854 6.68091629976605 6.72453284672548 6.65405288034598 6.71886109940077 6.76589234870354 6.76686163400066 6.80446336199773 6.70056423604291 6.78601867752206 6.78220386610497 6.73721149353961 6.64290047547406 6.78896944982663 6.76598280171142 6.68695606388844 6.78429305530262 6.79138688747985 6.69313558950717 6.7697750256227 6.84203216822562 6.83042062772326 6.74366644308199 6.73074683643654 6.71078006839109 6.73212537943478 6.76162199645593 6.72977634141642 6.68055188141342 6.7171670287059 6.77081851814907
"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*" 5.67295635750464 5.57305851761752 5.46042722740208 5.46634259238391 5.34197236042552 5.17774998759275 5.24357128298716 5.52659125018448 5.17776729280465 5.60097507259599 5.44840792975222 5.43578227399171 5.50627767859694 5.39491024974679 5.51113840850196 5.45762608702847 5.64868390313504 5.54481686660095 5.54193726448514 5.56842116339744 5.5090559400162 NA 5.42304260933626 5.52202538736728 5.23548552033154 5.41837090546624 5.286281279455 5.42074765476948 5.46297417888247 5.55222152687862 5.67872773681082 5.47261897408834 5.40053798939195 5.30074978534561 5.57165177597085 5.30412846482471 5.54216913421231 5.57952294172338 5.42772461343202 5.54493452751509 5.56533415061794 NA 5.51550559657889 5.6158848500119 5.5853783749547 5.52939313486443 5.4060084830219 5.47456880304665 5.49220005314663 5.57674895792811 5.46939929331088 5.57711478812048 5.49163759331722 5.63018675941131
"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)" 5.60683047710369 5.30818650902709 5.31949539585936 5.46149702610841 NA NA 5.34232396631288 5.41457729130905 5.43416475831256 5.48870720352312 5.45700334040388 5.35272263746202 5.08035947967977 5.14887708660979 5.37933271697078 5.37058895035129 5.42776516236513 5.38740050557993 5.46246238851398 5.46147001307867 5.2289672408168 5.24693167446307 5.26733837160712 5.19296588483472 NA 5.36325838419906 NA 5.46366010889846 5.27715520236515 5.3155484343468 NA 5.44437898032808 NA 5.42977972525486 5.5998012249493 5.29714528082368 5.48016797595279 5.40015446671892 5.34007709002857 5.47692867480765 5.35556644831893 5.34342828925212 5.28461343750195 5.53736316133155 5.2969239351324 5.50038606378391 5.23700556328332 5.32735484688962 5.37775779909362 5.5564158850797 NA 5.3373833779245 5.42690471329014 5.41976415429515
"1-palmitoyl-GPA (16:0)" 5.80237207369545 5.69722062189943 5.78285371873401 5.65842068139327 5.61126966347497 5.77883328072248 5.69736972450965 5.76443244745674 6.03672468505087 5.58794544317383 5.69344113484166 6.10110133697303 5.57941314547535 5.54006280871742 5.75683381554059 5.63858608883641 5.38339702152077 5.5278875659527 5.86641790323914 5.75435674626215 5.59178115825803 5.64897247090772 5.60522098100901 5.68465688719721 5.66204254530546 5.59552377770781 5.9378647878274 5.64971932149276 5.65023464881649 6.07799871849455 4.69914368739448 5.40397282405928 5.68444857266772 5.33529739270201 5.32596491339689 5.58085429733188 5.26398620306686 5.47193973465152 5.38791457833393 5.2455348754869 5.10315007776992 5.30960249091529 5.08297555682857 5.3642788898266 5.59523600810473 5.45325716750212 5.48764452154225 5.44279479265585 5.26391998305577 5.12346288775195 5.27426179029084 5.0048885959915 5.12221915595466 5.24369519718622
"1-palmitoyl-GPC (16:0)" 6.55110193497666 6.50387807772948 6.37720841448813 6.52227817867866 6.48344935625892 6.45355652500256 6.44973751005703 6.48272569830489 6.4961379300007 6.53700374478814 6.41705380555512 6.45291428886428 6.38064875390726 6.43972638095179 6.35255488658507 6.36310538365655 6.38656513022398 6.34852954744296 6.49241952264509 6.4619327541796 6.44034744064481 6.39279716350091 6.38048819707202 6.44285761331379 6.4398536925024 6.41595374606689 6.40045906668315 6.49505371013402 6.44429545833039 6.49678259928497 6.1838913653934 6.18719064443193 6.21226006958438 6.21688921176159 6.17725909773514 6.18720334431817 6.22777798889759 6.17873212028139 6.21252079091644 6.25705067362671 6.17873586133277 6.12631067508509 6.38691807591696 6.35244976824723 6.37509362858929 6.33713406765516 6.31007615464132 6.35530110980109 6.00722913071542 6.06045910160499 6.00481429767607 5.99289578193545 5.9555896261902 5.99384784354651
"1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)" 6.44468576626134 6.30907097276144 6.19607554754275 6.29314988621603 6.23844782794636 6.21781966881646 6.33464612512085 6.29480515220877 6.26399897290767 6.32695203982525 6.30370028082762 6.29791451065108 6.31139865361376 6.29339681068595 6.33607069597523 6.29944976666957 6.36463653262477 6.33953650301612 6.33674943370587 6.33307126062562 6.22601598600755 6.21591554979522 6.29406878615933 6.27942577979716 6.2157506820181 6.25295516309102 6.23435325322514 6.3072064830661 6.24196936313344 6.29451979319248 6.40126454395624 6.2859605880349 6.30482581325075 6.29692941534801 6.26964227933562 6.19766422220684 6.30306812697145 6.30435392757207 6.2385065123909 6.36391644330086 6.33060023641238 6.25048611739105 6.30805128024866 6.43496996218898 6.37414210976587 6.30126032779643 6.24926661577909 6.27719741338316 6.2287192888745 6.33026093162342 6.25337871852538 6.29836547636679 6.25432761127234 6.323211247748
"1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*" 5.90204044150585 5.89016159430661 5.75063874077277 5.77700247111239 5.76263955798094 5.50393497010512 5.88521416836082 5.56941136736196 5.82942600148345 5.78678974055641 5.73325666546498 5.82640266847432 5.85183783682128 5.7788621872929 5.71927575341368 5.78211629922179 5.8633067968768 5.7154442473536 5.89668216073033 5.82690564897298 5.66928061034754 5.57413317021005 5.71588556704716 5.8299820291145 5.69469380351598 5.82604368795173 5.52199927766171 5.81271353521873 5.85327465942382 5.76273256590129 5.86640195406695 5.67729115328633 5.78903609267239 5.89075513490423 5.85685028258249 5.76804951840666 5.85486388844893 5.70591243944292 5.91780263965959 5.77842838658469 5.80388232481694 5.86103890115708 5.8217721939236 5.82552932347499 5.88558792138252 5.82315262787288 6.15935931974815 5.66877064670289 5.77025463008523 5.78348193758071 5.73478543284806 5.73257467816839 5.67507685714092 5.8168872882035
"1-stearoyl-2-oleoyl-GPC (18:0/18:1)" 6.63327459578119 6.52836873251235 6.52439923810688 6.52606336106298 6.48039720117642 6.44414632772264 6.54216203036555 6.51365194371934 6.52030375133273 6.57763952674747 6.52256159453444 6.51250162329074 6.53505753605394 6.49840760431492 6.59829225922915 6.50283513775781 6.58517219446353 6.51501420263078 6.59036583327144 6.54542959250978 6.51310847986325 6.4986421454307 6.49401969122461 6.52986379079881 6.45723102678552 6.53516482538556 6.4750921304798 6.52954879383196 6.52179648236286 6.50847611901147 6.5558140067614 6.52206546271152 6.47919266885843 6.56431209429082 6.54652427960103 6.41982279770141 6.51467629542691 6.50539867640593 6.48153578399365 6.58474078351028 6.59139365528716 6.44546081572828 6.55436388098941 6.58098971606405 6.58786434376014 6.52932818561038 6.468069677278 6.49551422726863 6.50962639120523 6.54788763187603 6.50524904044975 6.516924015801 6.51577836787578 6.55131785963567
"1-stearoyl-GPC (18:0)" 6.3073890556533 6.25425192120667 6.26924130848937 6.26767826628684 6.22904695536732 6.2580973111495 6.25222102467145 6.24218997468933 6.26532616919016 6.27094585097228 6.24244650917808 6.29800220474102 6.223769981784 6.15775707396597 6.20508142279868 6.14446896795291 6.12581003390273 6.22337287775153 6.23404552935281 6.18625887143269 6.15989309254321 6.15561596087869 6.1480566676148 6.2067587035541 6.22812229043236 6.16456519171754 6.23897219567188 6.20936083944692 6.22618629089264 6.27677787389679 5.96505346038558 6.01189424649118 6.02506980713979 5.96744079334246 5.96088869780056 5.93789936196269 6.03953705272462 6.01105041678276 6.00462355478905 6.05251888096987 6.02688080614593 5.96368443406996 6.20412323985232 6.24109626444439 6.24462095578536 6.19176139334164 6.10733718572511 6.13847448687516 5.80562045957369 5.88680026116343 5.92853154808094 5.87509890061588 5.75259001728171 5.88400192476879
"2'-deoxycytidine" 5.63861204010513 5.72398733668561 5.76630351607643 5.78584214260502 5.76424041218634 5.69541425054045 5.93004896189351 5.74353720123878 5.90582663056551 5.76642474542837 5.8877612912134 5.81409836462949 5.52367364486528 5.42820771048816 5.25823009044913 5.23724455500174 5.20069731937418 5.21530437963723 5.54067351998556 5.43770776527007 5.48265352342363 5.50964465906607 5.48746786158144 5.49291257489463 5.52905287778668 5.38174124109446 5.48803715585801 5.47902651745163 5.46081818975167 5.45442255098828 NA 4.91287539864757 5.01665316527671 5.20988749015763 5.23226659442048 5.13635268759489 5.07892421243255 5.08265254921607 5.26122955177349 5.14656831112221 5.02135471308142 5.09762514121031 NA NA 4.69266188627308 NA NA 4.89715405749817 NA NA 4.75600436278541 4.921863277962 NA 5.16322997376973
"2'-deoxyinosine" 5.1353044262076 4.90003923548732 5.2024828679107 5.23783015739539 5.2541394499423 4.83588706906113 5.342045470482 5.02663947596109 5.28909373511671 5.11017204816779 5.23786783008058 4.96151601144895 5.46438968101002 4.93280341922045 5.07830453452758 4.81470695883036 5.07352773203813 4.86977717957211 5.30252356894876 5.02128441982456 5.24309512363907 5.37271689467945 5.25741695963167 5.30376609977916 5.41295588137307 5.05976404816498 5.32052638714463 5.33604325194403 5.3822386384018 5.04246131302098 4.81093784154209 NA 4.5704612101121 4.95514394069988 NA 4.6772783704395 4.61713669237761 4.5503995903555 4.85025402926882 4.81788254648233 4.81636726027562 4.80747414139699 4.381962977656 NA NA NA NA NA 4.58032041840461 4.33193317250328 NA 4.55241267360296 4.49742728010132 4.62813338754108
"2'-deoxyuridine" 5.52736692490527 5.52040885125074 5.49565116362463 5.58352182331201 5.49937636847981 5.46540367328744 5.47025315201958 5.56661423823912 5.52033415691622 5.50965003182008 5.53251742646398 5.59432624081245 5.62888017128455 5.5955976188516 5.55219717093512 5.53273145375202 5.50767375353157 5.62377116412798 5.5618738359126 5.56376340368527 5.63124890160851 5.47122274666247 5.54456905516731 5.51021782571555 5.49787880219228 5.5242571775792 5.49213992431324 5.58587226818888 5.6054569687516 5.56163080464461 5.57699863016089 5.61915805238528 5.57583187865081 5.61467790520187 5.56529279458401 5.59450083422667 5.54436202423463 5.54566207824995 5.80826230174252 5.58778839046633 5.53783797703158 5.5920701144564 5.47736294471711 5.47640552702847 5.48203847865406 5.45365921915414 5.42832759094214 5.51005145711924 5.42072292954301 5.47938381563931 5.49641898278649 5.41757630986512 5.39784271581088 5.44439459013481
"2-aminoadipate" 5.91056677968542 5.81582802637747 5.84396615981884 5.83125659623181 5.82948903229076 5.89072106459726 5.82567532739021 5.81876611550708 5.81688530202045 5.86640077262349 5.84098696893933 5.89231948672642 5.83781057859054 5.87974253676744 5.90564533482406 5.79265568830623 5.90850700112942 5.82280531813598 5.90302429498347 5.79792990599501 5.82708417374163 5.83605560580837 5.80165200332801 5.86488766227253 5.81415299982244 5.8905814042609 5.83279558016596 5.84226403801663 5.83616834952172 5.93577169180873 5.76135190381007 5.7566733753502 5.75813643124164 5.85911787356066 5.84667909261883 5.77491312432177 5.82551050162115 5.76335760220124 5.79791814865155 5.83358501193582 5.89793648459353 5.78174029970634 5.824753706929 5.86256903255199 5.94341388199674 5.81713284284612 5.68426711395139 5.84468464314577 5.8094007809096 5.84276707946457 5.83603786817779 5.88287558829681 5.76936329252431 5.83513863522617
"2-aminooctanoate" NA NA 4.56453587473222 NA NA 4.50749155896537 NA 4.60124492481052 NA NA NA 4.57506077210225 4.6536080241537 NA 4.51939479538102 4.59169888171983 NA NA 4.61580280823004 NA 4.67426391969223 4.60419364183912 4.57992072059266 4.63086500069473 NA NA 4.77718024134325 4.72138187779194 NA 4.39471427953334 4.46236804552252 NA NA 4.7967477388753 4.58774462995299 4.56837775371822 NA NA NA 4.60229878763004 4.44396667837458 NA 4.53917650209502 4.55140119809846 NA NA NA NA NA 4.51053160584908 4.42725884027041 NA 4.29261045283832 4.51781587590238
"2-hydroxybutyrate/2-hydroxyisobutyrate" 6.39623841440034 6.43025667269284 6.45204294646129 6.43411792977584 6.37921520412183 6.39075446659159 6.4045653628454 6.40945615149263 6.46447017216216 6.41500775609362 6.48047808376891 6.36433820459601 6.44960627738367 6.47138046825942 6.33833933782446 6.43647195180417 6.47713949470487 6.49777514551738 6.45294015572911 6.53836784752342 6.40750749391347 6.4391677885484 6.416811861773 6.38104789981869 6.39700997079279 6.48519129216852 6.34076961453757 6.43799933912179 6.50457266169462 6.46376566682143 6.40816921704999 6.49769355542195 6.39839022546658 6.52007485478501 6.4276840607126 6.37623266962003 6.47870743807296 6.49109178702159 6.43642235065324 6.50649799704787 6.49314159088378 6.41149327083354 6.43834786155858 6.50395511203063 6.40119351220881 6.47559739556834 6.42043320986421 6.3482462390741 6.4289785793449 6.45415767419328 6.42309261469398 6.40849605567843 6.44976094579703 6.48936341175297
"2-hydroxyglutarate" 7.05634867461137 7.13036860716604 7.10250889455177 7.08417489734505 7.11373681287966 7.08928564132373 7.06551006518772 7.14065291987328 7.12808108964825 7.08537592994111 7.11479697054091 7.14541564305704 7.13487607141423 7.19849590080924 7.08184631562191 7.10982393662179 7.11262195745418 7.14492918773877 7.09459004545815 7.19545650134458 7.14741347336914 7.0885674390474 7.1576663696566 7.16887330674483 7.01692667349834 7.16250947405647 7.07895314536224 7.09140186916083 7.17189788570895 7.13842159961374 7.17408374707584 7.18729674762631 7.25299086727453 7.24140889901751 7.19561328326444 7.16519694596105 7.19965640789652 7.18284123278324 7.22242484983845 7.25655063309556 7.24621260074443 7.19807143921292 7.19438350657371 7.15581052581579 7.1497062655844 7.22795371956181 7.14697420913004 7.14708141263654 7.21499116540645 7.23286061985774 7.264391863976 7.30097531454646 7.3101703576515 7.3378664485528
"2-hydroxyhippurate (salicylurate)" 5.57281469892836 5.54149062884843 5.55300141231947 5.54750641801278 5.5741829547736 5.52771494724928 5.53557511767428 5.57213709342304 5.57737804114672 5.56060954116219 5.51917672000143 5.55195353634491 5.6038369584054 5.55971515827145 5.55177803477129 5.50858088863984 5.57933535633493 5.56462582802209 5.64964245615972 5.60359467899657 5.59473719699271 5.56278874781798 5.56134828860925 5.54750641801278 5.53883503612028 5.59381753086231 5.56010996602589 5.48784512011144 5.56692513667808 5.56141148325659 5.54545927847112 5.53234026459102 5.58679877484278 5.60963495571156 5.59086523123737 5.53096384503128 5.57805326214859 5.5614818212007 5.58016286719113 5.57918660301001 5.62909956940173 5.5669792856146 5.56920648082033 5.56690276884262 5.60049262053209 5.60273804686289 5.52276624844056 5.58681901658644 5.53856242390746 5.55725208424559 5.58653329578219 5.62918423763536 5.58878471179125 5.61312374448515
