"UT_0h"	"UT_0h.1"	"UT_0h.2"	"UT_0h.3"	"UT_0h.4"	"UT_0h.5"	"UT_10h"	"UT_10h.1"	"UT_10h.2"	"UT_10h.3"	"UT_10h.4"	"UT_10h.5"	"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"10uM_10h"	"10uM_10h.1"	"10uM_10h.2"	"10uM_10h.3"	"10uM_10h.4"	"10uM_10h.5"	"UT_24h"	"UT_24h.1"	"UT_24h.2"	"UT_24h.3"	"UT_24h.4"	"UT_24h.5"	"Veh_24h"	"Veh_24h.1"	"Veh_24h.2"	"Veh_24h.3"	"Veh_24h.4"	"Veh_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"UT_48h"	"UT_48h.1"	"UT_48h.2"	"UT_48h.3"	"UT_48h.4"	"UT_48h.5"
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)"	614163	147453	350543	430592	281400	372759	463686	575877	209685	358408	NA	368964	451443	295658	261385	578840	413810	519841	625356	213172	185579	583315	352806	838639	410678	444382	388353	645084	302103	439287	169589	320903	NA	734334	519678	604560	302673	522384	209937	450316	691744	784134	798027	1298705	515804	128692	791111	909945
"1-(1-enyl-stearoyl)-GPE (P-18:0)*"	656315	475617	499878	414089	865642	568578	681464	1043726	643046	676448	599218	635877	288974	357490	284214	349547	300924	394742	463334	267148	314182	381039	521375	408188	668551	685866	695471	806113	890462	735502	697813	459744	657125	809069	827006	723010	626625	638318	480068	705218	921078	556460	1509368	2026831	1527806	307335	1849600	1817393
"1-arachidonoyl-GPA (20:4)"	NA	94458	81747	162366	NA	132706	NA	106117	129747	94945	238319	NA	50213	NA	103305	75733	60168	50365	NA	87338	54470	NA	78455	NA	297014	328629	256108	213133	160200	191345	115537	127241	301077	122108	213670	243794	164442	265132	191828	84067	215446	194730	71396	108230	NA	57155	NA	70098
"1-arachidonoyl-GPC (20:4n6)*"	328407	524801	669745	620171	553110	558192	794916	704642	784506	818716	845327	861523	763520	724311	737524	810778	564490	628605	709367	629153	814370	741119	768092	692740	1116155	1016370	889245	730449	790620	650172	876572	686693	724258	936274	798058	989699	650306	1047169	851198	940270	938387	851627	353171	535406	319098	57862	428030	416157
"1-arachidonoyl-GPE (20:4n6)*"	1568102	2376239	2205194	3840210	2116092	3362829	2109457	2706477	2656394	2633414	1586261	1487390	1532678	1503345	2106346	1782513	1476699	2376228	1473494	1914440	1981361	1842763	1172501	840932	8571170	7671175	5105489	4376659	5473974	4282125	6387164	4336045	5338681	6209680	5813238	6445276	4275262	4916915	4843760	5273136	3827437	3598499	1865058	2239307	1745945	430053	2502346	2187640
"1-arachidonoyl-GPI (20:4)*"	NA	NA	NA	NA	NA	65035	NA	89533	NA	NA	NA	62039	NA	70799	NA	NA	77481	101830	NA	NA	NA	NA	NA	NA	NA	73868	79390	51647	66638	93889	NA	NA	86406	NA	75917	66692	188446	201508	258302	99995	214098	312782	193332	181823	154832	NA	136134	225382
"1-arachidonylglycerol (20:4)"	244890	366737	414284	270657	NA	752251	690228	888724	859794	350966	369359	838394	573566	664514	847920	523083	472669	756384	483918	428186	669713	527247	357729	952894	943616	928623	1357577	506123	480053	1464017	643057	211256	1382892	721362	872097	1171565	461659	1064724	1147869	579823	744336	1021532	NA	276129	372452	NA	309417	1006050
"1-dihomo-linolenylglycerol (20:3)"	342619	66011	153943	NA	77618	219990	NA	174084	192776	203555	119289	124269	NA	197540	252489	209978	169650	199478	247174	100983	185406	430261	87351	177514	299218	218536	243673	207315	120902	220520	406570	NA	171148	284802	87822	226368	132078	113940	243602	442761	194216	306536	146656	153188	129704	58739	107056	204962
"1-docosahexaenoylglycerol (22:6)"	NA	NA	209293	196542	NA	334135	NA	109072	258470	NA	NA	303234	90742	168154	201698	144576	115851	193575	213805	90348	171192	168220	NA	NA	212553	331657	370275	148602	122692	372569	NA	NA	337097	209234	281490	399725	173844	231658	384951	165259	232996	400327	NA	NA	90538	NA	114188	312237
"1-lignoceroyl-GPC (24:0)"	NA	NA	NA	NA	25500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31728	22049	NA	NA	NA	NA	NA	NA	38279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67765	19572	63152	80524	72445	67396	53157	NA	NA	55222	57245
"1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*"	350956	338913	329105	422548	499969	380254	1284918	1526895	906786	1271011	1182923	1093759	999583	1037587	1140805	1162112	1007780	1398977	853053	669862	822280	1077592	1089431	869224	714867	795219	914358	1106213	850949	1007699	1131568	687859	897130	1154356	758840	918733	581772	753021	476716	840437	1083262	796878	581009	800153	491257	119949	575510	833609
"1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*"	34392	3054	19651	4035	32023	14198	83394	109810	39808	47704	43282	54239	58450	55759	62321	58814	64266	58299	40911	22274	20922	43166	49391	46342	23230	33247	39416	74820	53367	30546	41958	66838	47599	143567	44438	52995	38706	41813	10675	73680	90269	63857	77682	126040	29221	7259	67413	56654
"1-linoleoyl-GPC (18:2)"	168108	179777	151162	159165	196334	112442	159330	257741	204771	182444	257640	280010	236699	227019	148456	187407	205261	213494	285616	198497	242075	288769	250369	200580	229819	218718	185347	207632	147440	200718	163624	135082	217223	200975	155134	215903	211299	304266	252055	231636	181427	287548	232560	115030	197165	NA	293719	229961
"1-linoleoyl-GPE (18:2)*"	NA	NA	NA	NA	NA	124330	NA	NA	NA	NA	NA	69010	NA	55560	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	252252	229928	68843	86564	89245	103939	NA	NA	190869	58765	120840	120718	83216	177770	149258	65032	128035	119721	76517	NA	NA	NA	NA	78787
"1-linoleoylglycerol (18:2)"	NA	441376	NA	557251	418519	1161731	5254477	389014	NA	284445	233826	NA	222300	1594675	450458	1583812	773275	1278460	NA	1018509	366283	1987776	358453	1000745	NA	323110	NA	NA	NA	NA	1518609	NA	311469	2926037	2040519	248623	NA	189993	NA	NA	349682	296413	232068	NA	NA	1303219	2108606	333142
"1-methylhistidine"	463000	3181827	797709	654108	870325	1503868	1033214	572663	823253	1299887	1606916	1021136	746843	915896	926140	653242	678946	512393	1044612	990028	972014	648953	1461574	599434	1553099	1893324	1430351	2148700	961329	2224758	601818	961362	1712894	931128	1967153	1036177	1581234	864254	1171169	791683	953903	1338321	1856902	1715675	3427428	331874	2775313	2412016
"1-methylimidazoleacetate"	NA	166338	NA	NA	NA	88002	141384	NA	70924	178234	189889	NA	61665	64636	150780	47272	105020	44622	138746	138597	127228	69427	117253	86199	135088	152099	61697	154595	NA	160194	88193	120004	184777	23564	199963	64300	161743	88752	143361	NA	104804	150394	107980	74276	195757	NA	81429	82735
"1-methylnicotinamide"	64707096	110708416	96480800	90991736	105963752	133267280	115304360	85862368	111532872	135206048	123626384	103020504	115058112	152112240	141948912	127946928	115635032	126655976	158499600	144133520	168887200	137791264	128456016	137167504	152277312	157537504	139450224	154320848	138967248	162247456	89914000	113677000	151671072	112168224	166783008	152453936	181305088	166072032	181003600	133685832	163752224	185612832	148125040	186195936	195791712	55435024	207768928	181157024
"1-myristoylglycerol (14:0)"	NA	201143	693099	787530	447106	391022	993814	NA	471338	579122	476313	609036	NA	522820	313913	752202	615980	413828	780239	1910865	668754	NA	407709	318136	580138	NA	810146	694802	489558	1906118	856810	413678	372437	1421549	1678486	522451	541398	NA	485162	554314	497012	605224	698708	676758	812572	NA	456544	NA
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*"	5541848	3808756	4290045	3408088	5028979	5209176	7364928	9044974	3855902	4940177	6490973	6663756	7442983	6239278	6254093	6917554	6612088	8101222	8982739	5637422	5566863	6508946	6543719	7752423	6242886	6941467	8827586	10956123	7530610	7763599	6834643	7520160	7797308	12419671	7045949	8457481	5564495	8718110	6377362	8600699	10645324	10801772	8960953	15168484	6531261	1834982	10809022	12213426
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*"	541576	186630	367660	328658	379800	329447	551355	926808	244713	358176	541931	589469	600283	488355	492583	654962	737839	824155	460996	419754	303834	585644	471224	664262	424957	580990	624953	827781	553766	517120	543451	638423	582781	1031400	625633	767777	359989	648315	278470	605291	717229	789173	527733	1143887	473254	118388	637452	968963
"1-oleoyl-GPC (18:1)"	1613693	1734219	2069632	1700472	1973498	1688587	2006570	2827249	2025966	1889894	2149455	2219292	2386599	2497531	2257748	2397163	2158172	2206226	2552746	2354284	2436333	2570092	2560654	2263998	2124771	2246218	2057978	2340715	2180271	1839027	1872959	1752583	1907935	2345326	1998890	2341851	2445561	2888450	2383685	2921504	3165220	2720620	2705543	3907617	2586610	587976	3428420	3442638
"1-oleoyl-GPE (18:1)"	374797	509985	526673	950311	493013	787801	555901	763522	517105	516548	263489	345485	414791	383717	422416	466060	322928	458640	380599	347849	476360	525507	326218	320244	1332810	1248132	878364	863499	941800	699728	994003	693597	761709	973118	943624	1017764	724892	969865	883156	984246	826790	653831	799593	789773	690659	121012	730531	800579
"1-oleoyl-GPI (18:1)*"	NA	79526	190735	NA	177300	232196	NA	68206	142900	78491	67057	119575	NA	126173	148103	106914	82388	128602	116243	114661	196350	NA	182545	159782	85399	78068	72210	75948	56551	123153	NA	NA	112706	NA	125503	108030	310275	364029	391141	91093	357688	489410	369047	273861	241832	NA	280608	363062
"1-oleoyl-GPS (18:1)"	NA	160399	201336	81246	214822	381274	110740	150111	259156	146559	203466	318162	185011	298597	207452	187370	196615	250070	131848	269106	314521	128834	150621	284117	244472	353747	232192	222907	262097	349701	55034	NA	335270	114724	249604	352038	423919	464688	438614	298642	574272	571472	566592	494990	518129	NA	476577	638116
"1-palmitoleoyl-GPC (16:1)*"	223134	242429	299156	235210	286796	289264	214128	320973	298178	274409	320917	325404	243825	258014	210972	293640	245067	351070	279693	229331	355279	297738	352423	271144	338159	322413	313587	323826	284610	231559	272285	197190	280910	287854	228488	303818	295403	368431	325718	416013	446333	388726	308986	408241	304885	41169	414773	378491
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4)"	8239131	4752130	5673189	4883559	6812289	5550206	12656961	15648655	7643511	11269682	13429634	12046351	12876954	16564823	15445151	15077699	17005746	19964356	20436928	11721888	13625146	17986952	16873900	16498071	10575455	12817485	16565801	19356932	11636093	13196378	17179970	18328928	11673771	23869580	12396179	18063732	12043352	20541792	11857306	19687744	22323568	19242260	10019120	19878552	9265452	3039404	14301237	17988908
"1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*"	595240	142447	250563	238309	316911	245114	462885	800290	227405	380297	373153	432477	529872	327102	422287	566827	531719	674636	630044	239046	275782	424546	445048	509625	279827	429700	457060	717043	421219	466279	522240	595627	509215	786777	355345	616608	251568	428353	248276	386418	616095	568903	435936	918596	385789	110651	644311	722022
"1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*"	133551	103384	114307	108707	121856	97572	194900	170023	111219	158809	119978	180099	199735	183096	147126	268324	167463	242186	201107	136064	148103	195117	151861	227023	NA	107005	141318	166195	86035	195208	108747	190877	177701	217040	160556	202064	140946	175247	140026	155664	211775	219980	93140	248047	88257	NA	154160	263252
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)"	13946532	9359182	11474487	8709582	13188272	13133194	17395836	21220144	10600643	12975969	16888766	16527143	18616732	15299517	15629047	17800226	17850008	19692794	23255150	14476019	14791186	19224588	17589020	19935192	14080171	16762776	19915888	25124760	17438138	17830812	16522103	17831412	18981354	28883174	16326756	21383420	14159451	22268824	16651546	22145956	25966672	25529832	21454816	37643208	15907209	4622030	26467592	29888252
"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)"	590105	121141	241788	211839	508740	234752	278381	886605	183928	252417	354461	441133	444560	499125	487228	359655	438830	721451	395965	381845	173926	560060	328390	432962	415893	296682	343460	581780	458487	335951	309642	535764	513791	765426	489112	383657	245442	227287	145163	262917	488224	331109	303861	637829	370052	81792	356710	750419
"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)"	81615296	48951696	67127408	45787592	74401064	64742464	82830088	120998960	45014868	57445824	83860664	83524144	87720432	79385184	80727872	98218384	86890424	106451672	115171728	72240712	64042736	101569416	85384240	107592400	58315816	82156760	92473384	123030768	63345656	90698296	70716560	85852816	88331408	148586336	83544032	98239192	62652160	108047664	62783616	87311560	134601248	140457664	101970648	196163920	75794488	26669802	131384136	169639408
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)"	1677734	594112	889932	884633	1058861	1008491	1498141	2197047	641637	811491	988355	1193082	1461866	985927	1214896	1857376	1331169	2178816	1731462	922247	677221	1663620	989660	1900624	947391	1161173	1282941	1867280	878334	1103826	946042	1378893	1158416	2340982	1310949	1587311	629980	1198575	611000	1082564	1608339	1846907	1326055	2364869	969250	319656	1409253	1968572
"1-palmitoyl-2-oleoyl-GPG (16:0/18:1)"	509835	521802	476688	289346	629123	473124	693405	798447	293729	516195	645466	802835	886028	553149	204589	680582	385026	694243	674610	479107	254943	646292	535527	639866	451239	702415	622744	1091401	428787	816964	379796	817062	866801	1126864	944155	841053	NA	256334	NA	289069	662738	811691	841940	1627078	933685	188256	1035857	1656083
"1-palmitoyl-2-oleoyl-GPS (16:0/18:1)"	477586	402020	479572	339461	483823	448425	474147	595025	255379	343928	442473	628532	521640	441628	407834	614608	416985	615340	544882	389763	396965	545156	483982	607204	237455	410040	336732	529673	232774	415427	313963	435739	411659	572627	437703	395888	296848	391163	355054	359910	510298	536902	390294	662552	354783	84685	400398	570376
"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*"	10657706	12944594	16002858	4552397	8451566	18408940	20528448	27460236	7816023	15960878	18869300	19768924	22520402	19705012	19391268	22010028	21993360	24844264	28228124	17446992	8123483	23632650	22406608	24758566	16314327	19385238	25236370	29858512	20780232	21130494	19346048	19616648	20714472	33513516	19599710	25783764	17342408	25450490	20022220	26352638	31693548	29588504	29850282	52950800	22358588	6459158	38055476	43231136
"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)"	2493105	1341100	2234730	1622786	1843490	1783211	2541046	2893465	1028561	1637389	1940728	2610500	1678135	1116401	1558127	2414536	1818532	2289796	2159031	624139	1203956	1980085	1584501	2814988	1739466	2603443	2686173	4358208	1563624	2439529	1653194	2516247	2951394	5285394	2829536	3280396	1108260	2278570	1160657	1993316	3259879	4371257	4564529	7915144	3142507	1035271	4479265	6447320
"1-palmitoyl-GPC (16:0)"	1988593	1931283	2190657	1984975	1992581	2194686	2428265	3402063	2627063	2203170	2856478	2562279	2578624	3278937	2765128	2911660	2242898	2873708	2896918	3209288	2897737	3515826	3031493	3014998	3258732	3515120	3422757	3387515	3485475	2885331	3217312	2823395	2780433	3274087	2752940	3728484	3789236	4827125	3915076	4327373	4017456	3698433	4934612	4787219	3870531	845294	5405491	5020152
"1-palmitoyl-GPE (16:0)"	67500	89913	NA	109712	72703	NA	NA	118131	97217	106923	61503	NA	78581	107121	71456	91830	NA	98141	90028	67480	69117	NA	NA	89156	209125	215711	156428	158136	138449	124692	180298	123124	167109	185802	166936	214975	129384	143004	138402	198199	156840	94474	108689	187245	174203	NA	217825	197827
"1-palmitoylglycerol (16:0)"	9790937	8543621	13893179	27885832	14620177	10814686	7405000	10333740	10506227	20379778	7432700	21553436	7080343	11189999	9702781	17544684	16318146	8329550	10436466	372210112	15598654	7751534	9773994	8946382	10833059	12543452	21399892	16623413	13493089	9942982	12987887	10521191	9883740	7081457	25492156	15399820	21144288	9517135	10240141	12581957	9819175	12326936	50374776	12994537	11609647	9581128	9248618	13205400
"1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)"	8663588	4957278	7127400	5285103	6928135	5843945	14355813	20558388	7281948	9986014	13185369	14384489	16124646	13510197	15209332	19071632	18962444	22492026	18344904	11503913	9965141	18309098	14922472	19165082	10317030	12460049	15964191	21326524	10945957	15193541	15218892	18914720	13910204	26760008	13599710	16967812	11925007	21110824	13487121	22422958	28439484	29585834	13575265	29162966	9752434	3435090	16038594	21259972
"1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)"	5622404	1826162	2231546	2921934	2744425	2698100	4380616	6792950	2437444	3376269	3679964	4505324	4901321	3565110	3523509	6042933	4938525	6725407	5202837	3239464	2134711	5583563	4059480	6555399	4276541	5305058	4949663	7998120	4503593	4996002	4808360	6509210	5320817	8728683	5546747	7346602	3124305	5012476	2888514	5410563	7220924	7729066	5840876	11040048	5351385	1549965	7386830	10096488
"1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)"	2854961	2287001	2536307	2092246	2618156	2409330	3687144	4090360	2171389	2967216	3025162	4131485	4125282	3400516	3420031	4812937	3439931	4580624	4405936	3429528	2926728	4307325	3753092	4436100	2429720	3539434	3117720	4721986	2461710	3547788	2744223	4515095	3813699	5124199	3934842	3469259	2717115	3801456	3012751	3499054	4591484	5753469	2465671	4486507	2678534	939858	2714749	4669873
"1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)"	1328907	660924	951079	799794	983010	920250	1185181	1851443	776792	1065835	1004686	1364993	1835679	1357368	1501175	2084700	1910420	2364901	2153346	1340528	1486565	2127731	1868301	2357373	852846	1258850	1490493	2118855	1041829	1237609	1376254	1596801	1171338	2708679	1261181	1581029	1168297	2055923	1191590	2092161	2666479	2784887	1362473	2834991	1113024	451941	1617664	2030016
"1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*"	12504187	6671397	7750596	5179073	9983758	8943805	12006623	16653110	5592374	7493510	10567177	9222442	14416044	11534689	10529675	13651384	9312734	15250474	17836384	8591813	9131383	15489751	12277272	12538319	7925663	8956315	10857512	15770494	7989002	10060388	10928548	13009334	11857167	19439700	8336656	14680007	11326610	18094890	7862533	13319660	17292440	19500664	15135267	27071476	9040506	3248289	17479578	26383108
