X5uM_10h X5uM_10h.1 X5uM_10h.2 X5uM_10h.3 X5uM_10h.4 X5uM_10h.5 UT_24h UT_24h.1 UT_24h.2 UT_24h.3 UT_24h.4 UT_24h.5 Veh_24h Veh_24h.1 Veh_24h.2 Veh_24h.3 Veh_24h.4 Veh_24h.5 X5uM_24h X5uM_24h.1 X5uM_24h.2 X5uM_24h.3 X5uM_24h.4 X5uM_24h.5 X10uM_24h X10uM_24h.1 X10uM_24h.2 X10uM_24h.3 X10uM_24h.4 X10uM_24h.5 UT_48h UT_48h.1 UT_48h.2 UT_48h.3 UT_48h.4 UT_48h.5 Veh_48h Veh_48h.1 Veh_48h.2 Veh_48h.3 Veh_48h.4 Veh_48h.5 X5uM_48h X5uM_48h.1 X5uM_48h.2 X5uM_48h.3 X5uM_48h.4 X5uM_48h.5 X10uM_48h X10uM_48h.1 X10uM_48h.2 X10uM_48h.3 X10uM_48h.4 X10uM_48h.5 Veh_72h Veh_72h.1 Veh_72h.2 Veh_72h.3 Veh_72h.4 Veh_72h.5
0.9046216 0.8903877 0.8902838 0.9042336 0.9011301 0.9014321 0.8807325 0.9034115 0.8985671 0.9207905 0.8970928 0.9055431 0.8983991 0.9030338 0.9113492 0.9210872 0.8999732 0.9030038 0.9035513 0.9178535 0.9037469 0.9143513 0.9065275 0.9114159 0.9043887 0.9153305 0.8955296 0.9181493 0.9230317 0.9194068 0.9212276 0.9319807 0.9205375 0.9011443 0.9261472 0.9360881 0.9293423 0.9284614 0.9224564 0.9351587 0.9209839 0.9362708 0.9256391 0.9261290 0.9063331 0.9218699 0.9162747 0.9302323 0.9354029 0.9376865 0.9164455 0.9262732 0.9161546 0.9200027 0.9275795 0.9327233 0.9190172 0.9269854 0.9304380 0.9329739
0.8806289 0.9230487 0.9163924 0.9008938 0.9011596 0.9044503 0.9319159 0.9361936 0.9238724 0.9202296 0.9314824 0.9382486 0.8733024 0.8746350 0.9386038 0.8680323 0.9364550 0.9205029 0.9181206 0.9237599 0.9170624 0.9096936 0.9061895 0.9226261 0.9302259 0.9262553 0.9421514 0.9000431 0.9212005 0.9229529 0.9577702 0.9355111 0.9674612 0.9177490 0.9537919 0.9553815 0.9301637 0.9326251 0.9639994 0.9469070 0.9612283 0.9488161 0.9234815 0.9224364 0.9473585 0.9209685 0.9454393 0.9232239 0.8928402 0.9190289 0.9439323 0.9242407 0.9241568 0.9366845 0.9506338 0.9490466 0.9796399 0.9596213 0.9672383 0.9603381
1.0266735 1.0273911 1.0283493 1.0293269 1.0273471 1.0299704 1.0368309 1.0331614 1.0252425 1.0351034 1.0336309 1.0334552 1.0344814 1.0269029 1.0305933 1.0342107 1.0352935 1.0291923 1.0338466 1.0352629 1.0309022 1.0294158 1.0338517 1.0328258 1.0360768 1.0363837 1.0394560 1.0409425 1.0385136 1.0349269 1.0323656 1.0333288 1.0415908 1.0347445 1.0330842 1.0347492 1.0366429 1.0318638 1.0300442 1.0400289 1.0360443 1.0332862 1.0364486 1.0354894 1.0372176 1.0356107 1.0466973 1.0393758 1.0397630 1.0412664 1.0423788 1.0405389 1.0430478 1.0376394 1.0294987 1.0257441 1.0341662 1.0280034 1.0289380 1.0286310
0.9251425 0.9195925 0.9102885 0.9294293 0.9209247 0.9207788 0.9341376 0.9310068 0.9216563 0.9325594 0.9206797 0.9315618 0.8979904 0.9108401 0.9283863 0.9324914 0.9340931 0.9305043 0.9221113 0.9373355 0.9154308 0.9197595 0.9259480 0.9188628 0.9304033 0.9378892 0.9194178 0.9342601 0.9372913 0.9398382 0.9469658 0.9477988 0.9449542 0.9165042 0.9438110 0.9415522 0.9353170 0.9287030 0.9386240 0.9408184 0.9378329 0.9460465 0.9316201 0.9304172 0.9105955 0.9172043 0.9364286 0.9325802 0.9166006 0.9251712 0.9146487 0.9277655 0.9208841 0.8999059 0.9338730 0.9080893 0.9521590 0.9522746 0.9482620 0.9452762
0.9065252 0.9276892 0.9138930 0.9088629 0.9076165 0.9096134 0.9541762 0.9486606 0.9453720 0.9413159 0.9651639 0.9525046 0.9582843 0.9257700 0.9469970 0.9362601 0.9526830 0.9375844 0.9525847 0.9475656 0.9361082 0.9395756 0.9431491 0.9123550 0.9610611 0.9460161 0.9553367 0.9525308 0.9484820 0.9262780 0.9714117 0.9640954 0.9879667 0.9566128 0.9760699 0.9674987 0.9538288 0.9487965 0.9826077 0.9721377 0.9961459 0.9737206 0.9611708 0.9496549 0.9788345 0.9533091 0.9757162 0.9444376 0.9707506 0.9459493 0.9683091 0.9576226 0.9537552 0.9511239 0.9684576 0.9676384 0.9879345 0.9843804 0.9852244 0.9711975
0.8264943 0.8505146 0.8686230 0.8411326 0.8347671 0.8176581 0.9203904 0.9183815 0.9040445 0.8867579 0.8927646 0.8959756 0.8804073 0.8703899 0.9147121 0.8573732 0.8966272 0.8930330 0.8903697 0.8821682 0.8731135 0.8677379 0.8669618 0.8744530 0.9033055 0.9094435 0.9153547 0.8598173 0.8890947 0.8824678 0.8426524 0.8461260 0.8587327 0.8763387 0.8422285 0.8324570 0.8694966 0.8420725 0.8399988 0.8713644 0.8611941 0.8337496 0.8435446 0.8357388 0.8522689 0.8414917 0.8553209 0.8367806 0.8696890 0.8680489 0.8756195 0.8509408 0.8534868 0.8822632 0.8404681 0.8275247 0.8377221 0.8267843 0.8261284 0.8227962
0.9462711 0.9567750 0.9533258 0.9427380 0.9335854 0.9283487 0.9744814 0.9641737 0.9550692 0.9374607 0.9604452 0.9475674 0.9674078 0.9419524 0.9508881 0.9418877 0.9512799 0.9497847 0.9566642 0.9580276 0.9491595 0.9254761 0.9533644 0.9459239 0.9625787 0.9655763 0.9789007 0.9639303 0.9492015 0.9430514 0.9139692 0.9137632 0.9247864 0.8769690 0.9191968 0.9105844 0.9207657 0.9192193 0.9236521 0.8888887 0.9178611 0.9047289 0.9202791 0.9206927 0.9353409 0.9163783 0.9411445 0.9193936 0.9309436 0.9268086 0.9494270 0.9340626 0.9439532 0.9472756 0.8990547 0.9070405 0.9131499 0.8917299 0.8999992 0.9003463
0.9730586 0.9852950 0.9936261 0.9726084 0.9709911 0.9784985 1.0484557 1.0375198 1.0193821 1.0034586 1.0325352 1.0184981 1.0409737 1.0105617 1.0251371 1.0098398 1.0243577 1.0172774 1.0275646 1.0232108 1.0121910 0.9974526 1.0020590 1.0019758 1.0345666 1.0224735 1.0448182 1.0276269 1.0008965 0.9962062 0.9792867 0.9676770 0.9930254 0.9713577 0.9870945 0.9742417 0.9842326 0.9883512 0.9899499 0.9705518 0.9969727 0.9820158 0.9737510 0.9674677 0.9922117 0.9708353 1.0066029 0.9923660 0.9811182 0.9814797 1.0135848 0.9936151 1.0077165 1.0091409 0.9897507 0.9539306 0.9765734 0.9625158 0.9555229 0.9595207
0.9348729 0.9533084 0.9588594 0.9253628 0.9263839 0.9356191 0.9679121 0.9606519 0.9713611 0.9228592 0.9401877 0.9792634 0.9549777 0.8929376 0.9760685 0.9317954 0.9547667 0.9562256 0.9444321 0.9564843 0.9606740 0.9358278 0.9569563 0.9633956 0.9483981 0.9662211 0.9908138 0.9446321 0.9401777 0.9500626 0.9214496 0.8868017 0.9313617 0.9706405 0.9057182 0.9453981 0.8998172 0.9268931 0.9421620 0.9329466 0.9258186 0.9102081 0.9056251 0.9397594 0.9478483 0.8952010 0.9306801 0.9325133 0.9503893 0.9507375 0.9536687 0.9230617 0.9315003 0.9725049 0.8974681 0.8986626 0.9252666 0.9235134 0.8984988 0.9015873
0.8915559 0.9019865 0.9087909 0.8872401 0.8828038 0.8808684 0.9207080 0.9008264 0.9018996 0.8855610 0.8799028 0.9022211 0.9360426 0.8923642 0.8900769 0.8941693 0.8563272 0.8898529 0.9130739 0.8865923 0.8973953 0.8553170 0.8924271 0.8972920 0.8932337 0.8717772 0.9260520 0.9335586 0.8845889 0.9018453 0.8759485 0.8615845 0.8848312 0.8777393 0.8590850 0.8808896 0.8726336 0.8538085 0.8906711 0.9046523 0.8535771 0.8730723 0.8926629 0.8535723 0.8826846 0.8600142 0.8609805 0.8847679 0.8901529 0.8736043 0.9083797 0.8864089 0.8635631 0.9004553 0.8830775 0.8592424 0.8727450 0.8948882 0.8626124 0.8723129
