X5uM_10h X5uM_10h.1 X5uM_10h.2 X5uM_10h.3 X5uM_10h.4 X5uM_10h.5 UT_24h UT_24h.1 UT_24h.2 UT_24h.3 UT_24h.4 UT_24h.5 Veh_24h Veh_24h.1 Veh_24h.2 Veh_24h.3 Veh_24h.4 Veh_24h.5 X5uM_24h X5uM_24h.1 X5uM_24h.2 X5uM_24h.3 X5uM_24h.4 X5uM_24h.5 X10uM_24h X10uM_24h.1 X10uM_24h.2 X10uM_24h.3 X10uM_24h.4 X10uM_24h.5 UT_48h UT_48h.1 UT_48h.2 UT_48h.3 UT_48h.4 UT_48h.5 Veh_48h Veh_48h.1 Veh_48h.2 Veh_48h.3 Veh_48h.4 Veh_48h.5 X5uM_48h X5uM_48h.1 X5uM_48h.2 X5uM_48h.3 X5uM_48h.4 X5uM_48h.5 X10uM_48h X10uM_48h.1 X10uM_48h.2 X10uM_48h.3 X10uM_48h.4 X10uM_48h.5 Veh_72h Veh_72h.1 Veh_72h.2 Veh_72h.3 Veh_72h.4 Veh_72h.5
0.7394062 0.7356480 0.7264306 0.7398762 0.7439993 0.7426912 0.7207780 0.7307740 0.7381469 0.7515911 0.7309747 0.7415808 0.7371119 0.7381061 0.7378561 0.7533191 0.7363520 0.7423590 0.7413159 0.7460121 0.7506794 0.7541802 0.7452470 0.7445853 0.7311769 0.7463496 0.7259064 0.7462548 0.7593903 0.7561840 0.7476600 0.7722538 0.7329820 0.7556500 0.7612590 0.7630202 0.7526339 0.7541715 0.7591303 0.7443033 0.7494993 0.7708104 0.7511372 0.7619014 0.7516731 0.7525960 0.7370950 0.7562377 0.7377519 0.7564101 0.7366585 0.7453999 0.7333529 0.7357793 0.7589246 0.7704417 0.7523084 0.7715021 0.7756585 0.7758478
0.7357128 0.7146107 0.7176555 0.7399960 0.7333794 0.7411752 0.7063998 0.7295901 0.7286291 0.7545039 0.7198657 0.7305014 0.7187786 0.7345162 0.7359601 0.7589376 0.7294182 0.7395144 0.7270957 0.7429533 0.7313698 0.7504315 0.7338085 0.7420846 0.7181989 0.7390297 0.7072171 0.7393455 0.7547489 0.7536901 0.7500449 0.7731680 0.7372694 0.6965108 0.7562978 0.7706760 0.7590323 0.7590871 0.7510453 0.7536368 0.7430391 0.7733825 0.7507090 0.7584439 0.7275272 0.7507794 0.7311032 0.7607282 0.7452429 0.7644273 0.7265587 0.7428829 0.7274241 0.7317431 0.7552956 0.7680224 0.7473334 0.7655381 0.7698996 0.7748622
0.7162000 0.7408239 0.7387017 0.7372629 0.7334034 0.7436568 0.7474519 0.7560648 0.7491487 0.7540443 0.7474614 0.7568849 0.6986996 0.7114169 0.7579695 0.7152225 0.7589863 0.7538453 0.7388197 0.7477342 0.7421455 0.7466088 0.7335349 0.7512121 0.7387169 0.7478502 0.7440353 0.7247653 0.7532516 0.7565971 0.7797972 0.7760968 0.7748512 0.7093449 0.7788727 0.7865601 0.7597032 0.7624912 0.7848687 0.7631048 0.7755078 0.7837453 0.7489592 0.7554199 0.7604589 0.7500453 0.7543738 0.7549969 0.7113329 0.7492171 0.7483503 0.7412527 0.7337779 0.7450113 0.7740680 0.7814633 0.7966310 0.7924900 0.8003504 0.7975890
0.8349755 0.8245674 0.8289498 0.8423684 0.8361003 0.8468619 0.8315999 0.8343754 0.8313476 0.8481728 0.8294298 0.8336881 0.8276535 0.8352696 0.8322556 0.8521467 0.8390938 0.8428564 0.8319454 0.8379899 0.8342720 0.8448679 0.8368738 0.8409379 0.8227759 0.8367670 0.8208786 0.8382254 0.8491767 0.8483885 0.8405312 0.8572460 0.8342224 0.7997728 0.8436233 0.8519030 0.8466691 0.8436263 0.8386410 0.8381509 0.8358685 0.8535197 0.8405774 0.8480034 0.8325902 0.8434109 0.8351685 0.8499839 0.8283874 0.8488684 0.8263988 0.8345253 0.8281770 0.8253078 0.8382849 0.8446176 0.8409711 0.8489625 0.8514044 0.8543083
0.7524021 0.7380500 0.7337813 0.7606153 0.7494890 0.7570824 0.7492338 0.7518760 0.7473517 0.7641474 0.7387928 0.7514907 0.7184517 0.7408657 0.7497184 0.7683342 0.7570720 0.7620360 0.7420311 0.7587230 0.7408251 0.7548702 0.7495289 0.7481480 0.7388577 0.7572434 0.7260821 0.7523187 0.7664088 0.7704389 0.7710005 0.7862907 0.7568251 0.7083828 0.7707223 0.7751745 0.7639120 0.7592846 0.7642085 0.7581979 0.7566327 0.7814575 0.7555598 0.7619556 0.7309487 0.7469797 0.7471842 0.7626483 0.7302629 0.7542244 0.7251342 0.7440797 0.7311794 0.7157586 0.7604202 0.7477383 0.7742839 0.7864228 0.7846483 0.7850797
0.7372609 0.7445483 0.7366869 0.7437845 0.7386582 0.7479020 0.7653060 0.7661331 0.7665823 0.7713226 0.7744889 0.7683853 0.7666908 0.7530094 0.7647474 0.7714394 0.7721389 0.7678342 0.7665533 0.7670037 0.7575586 0.7711338 0.7634527 0.7428493 0.7632039 0.7638050 0.7544479 0.7670314 0.7755592 0.7593228 0.7909038 0.7998103 0.7912743 0.7393834 0.7970651 0.7965361 0.7790314 0.7757125 0.8000192 0.7834379 0.8036790 0.8043170 0.7795259 0.7777102 0.7857252 0.7763838 0.7785321 0.7723451 0.7734047 0.7711634 0.7676762 0.7680254 0.7572789 0.7564959 0.7885812 0.7967722 0.8033760 0.8129370 0.8152332 0.8066081
0.6721733 0.6826092 0.7001948 0.6883562 0.6793703 0.6722945 0.7382077 0.7416798 0.7330707 0.7266173 0.7163926 0.7227834 0.7043840 0.7079640 0.7386757 0.7064399 0.7267063 0.7313488 0.7164883 0.7140679 0.7065793 0.7121748 0.7017812 0.7119891 0.7173386 0.7342766 0.7228734 0.6923732 0.7269991 0.7234091 0.6860706 0.7019432 0.6877693 0.6773381 0.6877693 0.6853570 0.7101538 0.6884576 0.6839100 0.7022255 0.6948014 0.6886976 0.6841290 0.6844198 0.6841290 0.6853187 0.6824677 0.6843050 0.6928881 0.7076569 0.6941919 0.6824653 0.6776661 0.7017262 0.6843639 0.6813999 0.6812252 0.6827884 0.6835876 0.6833564
0.7695856 0.7678921 0.7684735 0.7715068 0.7597929 0.7633065 0.7815920 0.7786614 0.7744455 0.7681636 0.7707024 0.7644024 0.7739902 0.7661720 0.7678897 0.7760764 0.7710017 0.7778256 0.7698361 0.7754721 0.7681205 0.7595619 0.7717216 0.7701814 0.7644091 0.7795977 0.7730569 0.7762109 0.7761476 0.7730730 0.7441353 0.7580548 0.7406724 0.6778253 0.7506221 0.7496789 0.7520274 0.7515309 0.7520187 0.7163482 0.7405197 0.7473282 0.7463620 0.7539919 0.7508122 0.7463070 0.7509470 0.7518645 0.7416901 0.7555594 0.7527065 0.7491300 0.7494962 0.7534351 0.7320689 0.7468747 0.7425621 0.7364229 0.7447127 0.7477641
0.7913714 0.7907817 0.8009596 0.7959518 0.7902353 0.8045407 0.8409237 0.8378952 0.8265955 0.8222428 0.8285505 0.8216222 0.8328478 0.8219780 0.8278494 0.8320660 0.8302304 0.8330987 0.8268903 0.8282344 0.8191296 0.8186349 0.8111386 0.8158195 0.8215766 0.8255360 0.8251133 0.8275030 0.8184178 0.8166470 0.7973155 0.8027815 0.7953259 0.7507800 0.8060678 0.8020876 0.8038634 0.8080515 0.8059970 0.7821599 0.8043460 0.8111691 0.7897286 0.7922978 0.7964632 0.7906573 0.8031768 0.8115401 0.7816647 0.8001286 0.8035709 0.7968919 0.8001240 0.8026409 0.8059194 0.7854849 0.7941374 0.7948804 0.7906564 0.7969101
0.7603157 0.7651098 0.7729342 0.7572875 0.7539320 0.7692844 0.7763230 0.7758171 0.7876563 0.7561990 0.7544469 0.7899716 0.7640453 0.7263040 0.7882241 0.7677607 0.7738277 0.7831004 0.7599928 0.7742229 0.7774389 0.7680578 0.7746292 0.7844071 0.7531479 0.7801183 0.7824649 0.7606709 0.7687690 0.7788204 0.7502257 0.7356877 0.7459386 0.7502257 0.7396154 0.7783408 0.7349179 0.7578049 0.7670891 0.7518541 0.7469397 0.7518541 0.7344773 0.7696063 0.7608521 0.7290601 0.7425974 0.7625935 0.7571827 0.7750668 0.7560693 0.7403071 0.7396086 0.7735018 0.7307770 0.7399762 0.7524153 0.7626708 0.7434713 0.7487948
0.7250867 0.7239197 0.7325741 0.7260891 0.7184646 0.7242673 0.7384625 0.7275025 0.7313314 0.7256365 0.7060717 0.7278216 0.7488959 0.7258376 0.7187816 0.7367584 0.6940436 0.7287445 0.7347586 0.7176490 0.7262297 0.7019806 0.7223946 0.7305848 0.7093404 0.7038651 0.7313212 0.7517539 0.7233149 0.7392939 0.7131796 0.7147676 0.7086718 0.6784206 0.7015344 0.7252314 0.7127159 0.6980527 0.7251663 0.7290520 0.6886561 0.7211791 0.7239647 0.6990243 0.7085442 0.7004036 0.6869835 0.7235482 0.7091919 0.7121858 0.7201642 0.7109111 0.6856666 0.7161956 0.7190592 0.7075168 0.7097054 0.7390311 0.7137767 0.7244815
