"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"10uM_10h"	"10uM_10h.1"	"10uM_10h.2"	"10uM_10h.3"	"10uM_10h.4"	"10uM_10h.5"	"UT_24h"	"UT_24h.1"	"UT_24h.2"	"UT_24h.3"	"UT_24h.4"	"UT_24h.5"	"Veh_24h"	"Veh_24h.1"	"Veh_24h.2"	"Veh_24h.3"	"Veh_24h.4"	"Veh_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"Veh_48h"	"Veh_48h.1"	"Veh_48h.2"	"Veh_48h.3"	"Veh_48h.4"	"Veh_48h.5"	"5uM_48h"	"5uM_48h.1"	"5uM_48h.2"	"5uM_48h.3"	"5uM_48h.4"	"5uM_48h.5"	"Veh_72h"	"Veh_72h.1"	"Veh_72h.2"	"Veh_72h.3"	"Veh_72h.4"	"Veh_72h.5"
"1,2-dilinoleoyl-GPC (18:2/18:2)"	599140	466594	444637	NA	483165	273768	NA	NA	NA	NA	475106	NA	214205	565903	895565	589555	463408	623031	642080	539981	765486	854006	NA	682314	1114727	602997	NA	610885	NA	581567	NA	NA	551571	NA	605945	792654	537537	NA	718045	NA	NA	701250	NA	NA	476212	733089	563347	714823
"1,2-dioleoyl-GPC (18:1/18:1)*"	28572690	28070806	27439000	33027240	31980652	35345200	38025044	26824768	22961256	34350248	30220910	38159024	22123376	30589464	33087950	40485640	25183860	32721164	22821318	26957476	30874918	51972676	32280760	33077532	19970730	34558376	22199172	32306540	46850608	48775592	42657680	46920980	46217972	30681280	30380988	61103976	40161816	48450832	34073208	39130168	27227652	49789624	48826132	67932296	45574800	58676932	78585080	88420504
"1,2-dioleoyl-GPE (18:1/18:1)"	3202766	2224452	2504870	3820818	3265459	4373090	3842550	2319744	1532774	3374431	2286778	3938584	2185567	2635596	2948648	3962298	2213931	2556612	2044249	3214368	2631610	4649755	2909466	3899161	1678082	2617415	1452005	2434454	3730832	4010865	3610318	3716629	3303545	2487464	2564320	5002914	2962642	3897850	2234302	3329876	1902207	3743638	3313314	4562033	3192313	4969588	5264945	5875924
"1,2-dioleoyl-GPI (18:1/18:1)"	669241	518986	492023	695292	463260	670622	644331	510739	460300	681632	512838	712054	334106	502826	433318	590416	318307	495612	360857	573382	542824	693767	484210	521129	524077	717156	561610	668216	881700	1109432	567526	590263	438492	369722	457084	660690	786752	724631	499087	784624	561782	808446	656271	763356	613151	883637	889209	1031531
"1,2-dipalmitoleoyl-GPC (16:1/16:1)*"	1236157	1020599	1045225	1428092	928969	1668856	1561998	1040970	1269402	1625302	1365350	1486197	1073972	1472565	1577223	1789055	1509076	1655267	805679	1327324	1501812	1734806	1477256	2060871	1160030	1515306	1479095	1509505	1800550	1564171	1959516	2048071	2191115	1620734	1857091	2772779	1360245	1364588	1634419	1306161	775959	2091572	2738850	2744775	2480607	3394397	1903377	3627620
"1,2-dipalmitoyl-GPC (16:0/16:0)"	6249894	4771627	6453932	8232177	7023357	8819782	7824366	3374336	4787008	7653869	6185167	8517793	4718604	7138285	9315740	13923707	5483586	8779048	7011877	9467887	9077861	18059828	8400782	10302545	5238992	10062305	6067731	8076522	13111787	15400348	13794768	15909411	13624144	8884365	8375520	18939980	13661220	15910710	9027079	14130040	6929851	17524524	16054754	23554312	11841435	15985202	21131614	24878164
"1,2-distearoyl-GPC (18:0/18:0)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44601	37006	38475	50651	NA	NA	NA	NA	43217	88028	44350	41122	NA	NA	NA	NA	NA	93713	108046	120499	136165	89032	84987	155800	81652	105377	NA	97796	73074	133870	181315	158511	180914	288763	256502	197920
"1,2-distearoyl-GPG (18:0/18:0)"	NA	NA	NA	311131	NA	NA	369718	209332	NA	252554	149488	429245	234949	285192	246083	485171	191499	385839	NA	354498	374295	582033	528260	368474	NA	NA	NA	NA	210448	389166	439310	458930	333457	361292	325132	597536	313512	306500	NA	347777	NA	335237	461945	434144	495836	834579	618274	820532
"1-(1-enyl-oleoyl)-2-oleoyl-GPE (P-18:1/18:1)*"	158853	119532	70769	210379	NA	205861	249099	78209	37701	175038	151429	NA	NA	NA	40796	334671	NA	112309	NA	NA	118323	290045	114187	NA	NA	173583	NA	136595	224873	316204	NA	139568	214709	NA	NA	349003	NA	231228	NA	182875	105553	220684	121259	296137	NA	472370	514996	456922
"1-(1-enyl-oleoyl)-GPE (P-18:1)*"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60425	NA	NA	143982	120809	101213	96814	180523	NA	NA	163883	NA	134805	100107	91952	112233	85887	NA	156387	89129	233289	208069	510007	200477	350165	439221	144191	181282	196282	152392	186566	187169	379432	486453	734746	620147	839622	619788
